time,score
11/10/2021 11:32:44,0
11/10/2021 11:34:21,0

11/10/2021 13:44:15,1
11/10/2021 13:51:32,2
11/10/2021 13:56:42,9
13/10/2021 09:59:53,2
13/10/2021 10:00:40,3
13/10/2021 10:00:40,15
14/10/2021 11:49:34,8
14/10/2021 11:49:34,1
14/10/2021 12:03:22,1
14/10/2021 12:03:22,1
14/10/2021 12:12:35,10
30/10/2021 20:34:48,9
30/10/2021 20:34:48,3
30/10/2021 20:44:51,3
30/10/2021 20:44:51,15
30/10/2021 20:44:51,3
30/10/2021 20:44:51,6
03/11/2021 23:11:35,2
03/11/2021 23:11:35,4
03/11/2021 23:11:35,4
04/11/2021 12:11:17,6
04/11/2021 12:11:17,1
04/11/2021 12:13:19,14
04/11/2021 12:13:19,13
04/11/2021 12:13:19,3
04/11/2021 12:13:19,3
04/11/2021 12:19:02,2
04/11/2021 12:19:02,12
04/11/2021 12:19:02,2
04/11/2021 12:19:02,1
04/11/2021 12:19:02,4
04/11/2021 12:19:02,2
04/11/2021 12:19:02,1
04/11/2021 12:19:02,6
04/11/2021 12:19:02,2
04/11/2021 12:19:02,3
04/11/2021 12:19:02,7
04/11/2021 12:19:02,1
04/11/2021 12:19:02,7
04/11/2021 12:42:33,3
04/11/2021 12:45:37,5
04/11/2021 12:45:37,3
04/11/2021 12:45:37,1
04/11/2021 12:45:37,7
04/11/2021 12:45:37,2
04/11/2021 12:45:37,1
04/11/2021 12:50:12,8
04/11/2021 12:50:12,4
04/11/2021 12:50:12,3
04/11/2021 12:50:12,2
04/11/2021 12:50:12,2
04/11/2021 12:50:12,9
04/11/2021 12:50:12,6
04/11/2021 12:57:21,3
04/11/2021 12:57:21,1
04/11/2021 12:57:21,3
04/11/2021 12:57:21,4
04/11/2021 12:57:21,10
04/11/2021 12:57:21,1
04/11/2021 15:02:46,8
04/11/2021 15:02:46,2
04/11/2021 15:02:46,4
04/11/2021 15:02:46,1
04/11/2021 15:02:46,1
04/11/2021 15:02:46,1
04/11/2021 15:02:46,1
04/11/2021 15:02:46,1
04/11/2021 15:02:46,4
04/11/2021 15:02:46,1
04/11/2021 15:02:46,1
12/11/2021 14:59:03,1
12/11/2021 14:59:03,4
12/11/2021 15:03:15,12
27/03/2022 21:16:23,1
27/03/2022 21:16:23,11
30/03/2022 12:15:57,2
30/03/2022 12:15:57,4
30/03/2022 12:15:57,6
30/03/2022 15:57:44,1
30/03/2022 16:05:19,10
30/03/2022 16:09:09,3
30/03/2022 16:50:29,2
30/03/2022 16:50:29,4
30/03/2022 16:57:11,1
30/03/2022 16:57:11,1
30/03/2022 16:57:11,1
30/03/2022 16:57:11,3
30/03/2022 16:57:11,1
30/03/2022 16:57:11,1
30/03/2022 16:57:11,2
30/03/2022 16:57:11,3
30/03/2022 16:57:11,5
30/03/2022 16:57:11,1
30/03/2022 16:57:11,4
30/03/2022 20:06:59,1
30/03/2022 21:05:34,7
30/03/2022 21:06:45,1
30/03/2022 21:06:45,2
30/03/2022 21:06:45,1
30/03/2022 21:08:17,1
30/03/2022 21:24:52,1
30/03/2022 21:32:48,1
30/03/2022 21:34:20,2
30/03/2022 21:35:09,5
30/03/2022 21:35:09,8
30/03/2022 21:35:09,1
30/03/2022 21:41:41,1
30/03/2022 21:42:26,2
30/03/2022 21:42:26,4
30/03/2022 21:49:09,1
30/03/2022 21:49:09,1
31/03/2022 09:41:46,1
21/06/2022 18:09:14,3
22/06/2022 13:56:36,1
22/06/2022 13:56:36,1
22/06/2022 13:56:36,2
22/06/2022 13:56:36,1
22/06/2022 13:56:36,1
13/02/2023 15:13:24,1
13/02/2023 15:13:24,2
22/02/2023 15:01:08,7
22/02/2023 16:32:00,2
22/02/2023 16:32:00,1
22/02/2023 16:43:00,2
22/02/2023 16:43:00,1
22/02/2023 16:43:00,2
22/02/2023 16:48:46,2
22/02/2023 16:48:46,1
22/02/2023 16:48:46,9
22/02/2023 16:48:46,2
22/02/2023 16:48:46,1
23/02/2023 22:37:14,2
23/02/2023 22:37:14,1
28/02/2023 11:15:04,4
